N回目,ε,α,γ,学習回数,最短経路
---------------------------0.9,0.9,0.9-------------------------------
20,0.30,0.90,0.90,55094,16
4,0.30,0.90,0.90,104689,16
19,0.30,0.90,0.90,92128,16
21,0.30,0.90,0.90,81595,16
24,0.30,0.90,0.90,20028,16
13,0.30,0.90,0.90,197141,16
25,0.30,0.90,0.90,6081,16
5,0.30,0.90,0.90,223892,16
22,0.30,0.90,0.90,155191,16
28,0.30,0.90,0.90,25980,16
29,0.30,0.90,0.90,19621,16
31,0.30,0.90,0.90,68361,16
23,0.30,0.90,0.90,207613,16
32,0.30,0.90,0.90,49849,16
33,0.30,0.90,0.90,87388,16
34,0.30,0.90,0.90,106287,16
18,0.30,0.90,0.90,334267,16
36,0.30,0.90,0.90,102346,16
37,0.30,0.90,0.90,72776,16
26,0.30,0.90,0.90,302023,16
38,0.30,0.90,0.90,41087,16
40,0.30,0.90,0.90,13420,16
27,0.30,0.90,0.90,312886,16
35,0.30,0.90,0.90,236891,16
6,0.30,0.90,0.90,384959,16
8,0.30,0.90,0.90,435415,16
44,0.30,0.90,0.90,11398,16
45,0.30,0.90,0.90,24034,16
30,0.30,0.90,0.90,332498,16
47,0.30,0.90,0.90,69535,16
43,0.30,0.90,0.90,160980,16
42,0.30,0.90,0.90,173170,16
46,0.30,0.90,0.90,130979,16
51,0.30,0.90,0.90,10185,16
52,0.30,0.90,0.90,21278,16
48,0.30,0.90,0.90,127705,16
49,0.30,0.90,0.90,51986,16
50,0.30,0.90,0.90,58442,16
39,0.30,0.90,0.90,219611,16
55,0.30,0.90,0.90,93808,16
41,0.30,0.90,0.90,220018,16
60,0.30,0.90,0.90,61930,16
61,0.30,0.90,0.90,4181,16
62,0.30,0.90,0.90,120911,16
57,0.30,0.90,0.90,132046,16
53,0.30,0.90,0.90,113249,16
64,0.30,0.90,0.90,42895,16
65,0.30,0.90,0.90,57379,16
63,0.30,0.90,0.90,146192,16
66,0.30,0.90,0.90,90114,16
67,0.30,0.90,0.90,46504,16
68,0.30,0.90,0.90,19345,16
72,0.30,0.90,0.90,25206,16
54,0.30,0.90,0.90,235215,16
70,0.30,0.90,0.90,167549,16
74,0.30,0.90,0.90,181422,16
56,0.30,0.90,0.90,244397,16
69,0.30,0.90,0.90,166160,16
59,0.30,0.90,0.90,182169,16
75,0.30,0.90,0.90,147600,16
76,0.30,0.90,0.90,26667,16
80,0.30,0.90,0.90,20455,16
82,0.30,0.90,0.90,30588,16
58,0.30,0.90,0.90,255715,16
71,0.30,0.90,0.90,224733,16
83,0.30,0.90,0.90,83597,16
78,0.30,0.90,0.90,140040,16
73,0.30,0.90,0.90,245212,16
86,0.30,0.90,0.90,58907,16
87,0.30,0.90,0.90,9469,16
89,0.30,0.90,0.90,14553,16
88,0.30,0.90,0.90,90713,16
90,0.30,0.90,0.90,64604,16
92,0.30,0.90,0.90,101387,16
85,0.30,0.90,0.90,178238,16
81,0.30,0.90,0.90,190394,16
93,0.30,0.90,0.90,153646,16
95,0.30,0.90,0.90,64341,16
79,0.30,0.90,0.90,242193,16
96,0.30,0.90,0.90,77352,16
94,0.30,0.90,0.90,130701,16
91,0.30,0.90,0.90,171867,16
84,0.30,0.90,0.90,207552,16
