データ,ε,α,γ,学習回数,ステップ数
ε:0.60 α:0.10 γ:0.50 学習回数:29 ステップ数:22,0.6,0.1,0.5,29,22
ε:0.80 α:0.50 γ:0.20 学習回数:29 ステップ数:22,0.8,0.5,0.2,29,22
ε:0.60 α:0.30 γ:0.40 学習回数:29 ステップ数:22,0.6,0.3,0.4,29,22
ε:0.80 α:0.90 γ:0.30 学習回数:29 ステップ数:22,0.8,0.9,0.3,29,22
ε:0.70 α:0.20 γ:0.20 学習回数:29 ステップ数:22,0.7,0.2,0.2,29,22
ε:0.20 α:0.30 γ:0.40 学習回数:29 ステップ数:22,0.2,0.3,0.4,29,22
ε:0.30 α:0.80 γ:0.20 学習回数:29 ステップ数:22,0.3,0.8,0.2,29,22
ε:0.50 α:0.30 γ:0.20 学習回数:29 ステップ数:22,0.5,0.3,0.2,29,22
ε:0.50 α:0.30 γ:0.40 学習回数:29 ステップ数:22,0.5,0.3,0.4,29,22
ε:0.40 α:0.90 γ:0.10 学習回数:29 ステップ数:22,0.4,0.9,0.1,29,22
ε:0.40 α:0.80 γ:0.60 学習回数:29 ステップ数:22,0.4,0.8,0.6,29,22
ε:0.70 α:0.20 γ:0.70 学習回数:29 ステップ数:22,0.7,0.2,0.7,29,22
ε:0.60 α:0.10 γ:0.40 学習回数:29 ステップ数:22,0.6,0.1,0.4,29,22
ε:0.90 α:0.10 γ:0.60 学習回数:30 ステップ数:22,0.9,0.1,0.6,30,22
ε:0.30 α:0.60 γ:0.70 学習回数:30 ステップ数:22,0.3,0.6,0.7,30,22
ε:0.50 α:0.80 γ:0.10 学習回数:30 ステップ数:22,0.5,0.8,0.1,30,22
ε:0.50 α:0.90 γ:0.20 学習回数:30 ステップ数:22,0.5,0.9,0.2,30,22
ε:0.90 α:0.20 γ:0.20 学習回数:30 ステップ数:22,0.9,0.2,0.2,30,22
ε:0.40 α:0.40 γ:0.30 学習回数:30 ステップ数:22,0.4,0.4,0.3,30,22
ε:0.40 α:0.20 γ:0.70 学習回数:30 ステップ数:22,0.4,0.2,0.7,30,22
ε:0.90 α:0.20 γ:0.90 学習回数:30 ステップ数:22,0.9,0.2,0.9,30,22
ε:0.50 α:0.20 γ:0.80 学習回数:30 ステップ数:22,0.5,0.2,0.8,30,22
ε:0.50 α:0.10 γ:0.80 学習回数:30 ステップ数:22,0.5,0.1,0.8,30,22
ε:0.90 α:0.20 γ:0.10 学習回数:30 ステップ数:22,0.9,0.2,0.1,30,22
ε:0.80 α:0.30 γ:0.70 学習回数:30 ステップ数:22,0.8,0.3,0.7,30,22
ε:0.30 α:0.90 γ:0.20 学習回数:30 ステップ数:22,0.3,0.9,0.2,30,22
ε:0.80 α:0.20 γ:0.20 学習回数:30 ステップ数:22,0.8,0.2,0.2,30,22
ε:0.40 α:0.60 γ:0.40 学習回数:30 ステップ数:22,0.4,0.6,0.4,30,22
ε:0.40 α:0.70 γ:0.80 学習回数:30 ステップ数:22,0.4,0.7,0.8,30,22
ε:0.50 α:0.10 γ:0.60 学習回数:31 ステップ数:22,0.5,0.1,0.6,31,22
ε:0.50 α:0.10 γ:0.70 学習回数:31 ステップ数:22,0.5,0.1,0.7,31,22
ε:0.10 α:0.60 γ:0.10 学習回数:31 ステップ数:22,0.1,0.6,0.1,31,22
ε:0.40 α:0.50 γ:0.90 学習回数:31 ステップ数:22,0.4,0.5,0.9,31,22
ε:0.30 α:0.20 γ:0.30 学習回数:31 ステップ数:22,0.3,0.2,0.3,31,22
ε:0.40 α:0.80 γ:0.10 学習回数:31 ステップ数:22,0.4,0.8,0.1,31,22
ε:0.80 α:0.20 γ:0.10 学習回数:31 ステップ数:22,0.8,0.2,0.1,31,22
ε:0.60 α:0.30 γ:0.30 学習回数:31 ステップ数:22,0.6,0.3,0.3,31,22
ε:0.90 α:0.20 γ:0.20 学習回数:31 ステップ数:22,0.9,0.2,0.2,31,22
ε:0.60 α:0.60 γ:0.30 学習回数:31 ステップ数:22,0.6,0.6,0.3,31,22
ε:0.50 α:0.20 γ:0.70 学習回数:31 ステップ数:22,0.5,0.2,0.7,31,22
ε:0.80 α:0.10 γ:0.30 学習回数:31 ステップ数:22,0.8,0.1,0.3,31,22
ε:0.50 α:0.20 γ:0.40 学習回数:31 ステップ数:22,0.5,0.2,0.4,31,22
ε:0.90 α:0.20 γ:0.70 学習回数:31 ステップ数:22,0.9,0.2,0.7,31,22
ε:0.30 α:0.90 γ:0.30 学習回数:31 ステップ数:22,0.3,0.9,0.3,31,22
ε:0.80 α:0.70 γ:0.40 学習回数:31 ステップ数:22,0.8,0.7,0.4,31,22
ε:0.80 α:0.10 γ:0.50 学習回数:32 ステップ数:22,0.8,0.1,0.5,32,22
ε:0.40 α:0.80 γ:0.90 学習回数:32 ステップ数:22,0.4,0.8,0.9,32,22
ε:0.90 α:0.30 γ:0.10 学習回数:32 ステップ数:22,0.9,0.3,0.1,32,22
ε:0.80 α:0.20 γ:0.30 学習回数:32 ステップ数:22,0.8,0.2,0.3,32,22
ε:0.40 α:0.60 γ:0.90 学習回数:32 ステップ数:22,0.4,0.6,0.9,32,22
ε:0.90 α:0.30 γ:0.10 学習回数:32 ステップ数:22,0.9,0.3,0.1,32,22
ε:0.70 α:0.30 γ:0.10 学習回数:32 ステップ数:22,0.7,0.3,0.1,32,22
ε:0.80 α:0.70 γ:0.30 学習回数:32 ステップ数:22,0.8,0.7,0.3,32,22
ε:0.50 α:0.10 γ:0.30 学習回数:32 ステップ数:22,0.5,0.1,0.3,32,22
ε:0.70 α:0.40 γ:0.90 学習回数:32 ステップ数:22,0.7,0.4,0.9,32,22
ε:0.50 α:0.10 γ:0.70 学習回数:32 ステップ数:22,0.5,0.1,0.7,32,22
ε:0.30 α:0.30 γ:0.30 学習回数:32 ステップ数:22,0.3,0.3,0.3,32,22
ε:0.30 α:0.10 γ:0.40 学習回数:33 ステップ数:22,0.3,0.1,0.4,33,22
ε:0.60 α:0.50 γ:0.30 学習回数:33 ステップ数:22,0.6,0.5,0.3,33,22
ε:0.50 α:0.70 γ:0.90 学習回数:33 ステップ数:22,0.5,0.7,0.9,33,22
ε:0.60 α:0.10 γ:0.20 学習回数:33 ステップ数:22,0.6,0.1,0.2,33,22
ε:0.40 α:0.40 γ:0.40 学習回数:33 ステップ数:22,0.4,0.4,0.4,33,22
ε:0.90 α:0.10 γ:0.50 学習回数:33 ステップ数:22,0.9,0.1,0.5,33,22
ε:0.50 α:0.80 γ:0.20 学習回数:33 ステップ数:22,0.5,0.8,0.2,33,22
ε:0.40 α:0.10 γ:0.40 学習回数:33 ステップ数:22,0.4,0.1,0.4,33,22
ε:0.70 α:0.10 γ:0.40 学習回数:33 ステップ数:22,0.7,0.1,0.4,33,22
ε:0.50 α:0.30 γ:0.30 学習回数:33 ステップ数:22,0.5,0.3,0.3,33,22
ε:0.50 α:0.50 γ:0.40 学習回数:33 ステップ数:22,0.5,0.5,0.4,33,22
ε:0.40 α:0.50 γ:0.20 学習回数:33 ステップ数:22,0.4,0.5,0.2,33,22
ε:0.90 α:0.10 γ:0.40 学習回数:34 ステップ数:22,0.9,0.1,0.4,34,22
ε:0.70 α:0.10 γ:0.30 学習回数:34 ステップ数:22,0.7,0.1,0.3,34,22
ε:0.80 α:0.50 γ:0.30 学習回数:34 ステップ数:22,0.8,0.5,0.3,34,22
ε:0.60 α:0.60 γ:0.50 学習回数:34 ステップ数:22,0.6,0.6,0.5,34,22
ε:0.90 α:0.20 γ:0.30 学習回数:34 ステップ数:22,0.9,0.2,0.3,34,22
ε:0.90 α:0.20 γ:0.10 学習回数:34 ステップ数:22,0.9,0.2,0.1,34,22
ε:0.50 α:0.40 γ:0.50 学習回数:34 ステップ数:22,0.5,0.4,0.5,34,22
ε:0.20 α:0.70 γ:0.60 学習回数:34 ステップ数:22,0.2,0.7,0.6,34,22
ε:0.50 α:0.30 γ:0.20 学習回数:34 ステップ数:22,0.5,0.3,0.2,34,22
ε:0.30 α:0.20 γ:0.90 学習回数:34 ステップ数:22,0.3,0.2,0.9,34,22
ε:0.40 α:0.30 γ:0.20 学習回数:35 ステップ数:22,0.4,0.3,0.2,35,22
ε:0.70 α:0.10 γ:0.50 学習回数:35 ステップ数:22,0.7,0.1,0.5,35,22
ε:0.40 α:0.20 γ:0.60 学習回数:35 ステップ数:22,0.4,0.2,0.6,35,22
ε:0.50 α:0.40 γ:0.40 学習回数:35 ステップ数:22,0.5,0.4,0.4,35,22
ε:0.60 α:0.70 γ:0.60 学習回数:35 ステップ数:22,0.6,0.7,0.6,35,22
ε:0.60 α:0.30 γ:0.40 学習回数:35 ステップ数:22,0.6,0.3,0.4,35,22
ε:0.30 α:0.80 γ:0.40 学習回数:35 ステップ数:22,0.3,0.8,0.4,35,22
ε:0.90 α:0.10 γ:0.50 学習回数:36 ステップ数:22,0.9,0.1,0.5,36,22
ε:0.60 α:0.10 γ:0.80 学習回数:36 ステップ数:22,0.6,0.1,0.8,36,22
ε:0.40 α:0.30 γ:0.60 学習回数:36 ステップ数:22,0.4,0.3,0.6,36,22
ε:0.80 α:0.10 γ:0.80 学習回数:36 ステップ数:22,0.8,0.1,0.8,36,22
ε:0.80 α:0.40 γ:0.40 学習回数:36 ステップ数:22,0.8,0.4,0.4,36,22
ε:0.30 α:0.80 γ:0.80 学習回数:36 ステップ数:22,0.3,0.8,0.8,36,22
ε:0.60 α:0.30 γ:0.30 学習回数:36 ステップ数:22,0.6,0.3,0.3,36,22
ε:0.60 α:0.50 γ:0.10 学習回数:36 ステップ数:22,0.6,0.5,0.1,36,22
ε:0.70 α:0.30 γ:0.20 学習回数:36 ステップ数:22,0.7,0.3,0.2,36,22
ε:0.30 α:0.40 γ:0.70 学習回数:36 ステップ数:22,0.3,0.4,0.7,36,22
ε:0.60 α:0.70 γ:0.80 学習回数:37 ステップ数:22,0.6,0.7,0.8,37,22
ε:0.40 α:0.60 γ:0.90 学習回数:37 ステップ数:22,0.4,0.6,0.9,37,22
ε:0.30 α:0.20 γ:0.70 学習回数:37 ステップ数:22,0.3,0.2,0.7,37,22
ε:0.80 α:0.30 γ:0.80 学習回数:37 ステップ数:22,0.8,0.3,0.8,37,22
ε:0.80 α:0.40 γ:0.90 学習回数:37 ステップ数:22,0.8,0.4,0.9,37,22
ε:0.50 α:0.20 γ:0.10 学習回数:37 ステップ数:22,0.5,0.2,0.1,37,22
ε:0.50 α:0.90 γ:0.80 学習回数:37 ステップ数:22,0.5,0.9,0.8,37,22
ε:0.50 α:0.10 γ:0.90 学習回数:37 ステップ数:22,0.5,0.1,0.9,37,22
ε:0.30 α:0.90 γ:0.90 学習回数:37 ステップ数:22,0.3,0.9,0.9,37,22
ε:0.70 α:0.20 γ:0.30 学習回数:37 ステップ数:22,0.7,0.2,0.3,37,22
ε:0.70 α:0.20 γ:0.10 学習回数:37 ステップ数:22,0.7,0.2,0.1,37,22
ε:0.60 α:0.20 γ:0.10 学習回数:37 ステップ数:22,0.6,0.2,0.1,37,22
ε:0.60 α:0.10 γ:0.60 学習回数:38 ステップ数:22,0.6,0.1,0.6,38,22
ε:0.50 α:0.20 γ:0.30 学習回数:38 ステップ数:22,0.5,0.2,0.3,38,22
ε:0.50 α:0.30 γ:0.10 学習回数:38 ステップ数:22,0.5,0.3,0.1,38,22
ε:0.70 α:0.90 γ:0.10 学習回数:38 ステップ数:22,0.7,0.9,0.1,38,22
ε:0.30 α:0.40 γ:0.10 学習回数:38 ステップ数:22,0.3,0.4,0.1,38,22
ε:0.40 α:0.40 γ:0.50 学習回数:38 ステップ数:22,0.4,0.4,0.5,38,22
ε:0.50 α:0.40 γ:0.10 学習回数:38 ステップ数:22,0.5,0.4,0.1,38,22
ε:0.40 α:0.10 γ:0.60 学習回数:39 ステップ数:22,0.4,0.1,0.6,39,22
ε:0.70 α:0.20 γ:0.10 学習回数:39 ステップ数:22,0.7,0.2,0.1,39,22
ε:0.30 α:0.50 γ:0.40 学習回数:39 ステップ数:22,0.3,0.5,0.4,39,22
ε:0.40 α:0.20 γ:0.20 学習回数:39 ステップ数:22,0.4,0.2,0.2,39,22
ε:0.20 α:0.50 γ:0.40 学習回数:39 ステップ数:22,0.2,0.5,0.4,39,22
ε:0.40 α:0.30 γ:0.80 学習回数:39 ステップ数:22,0.4,0.3,0.8,39,22
ε:0.80 α:0.20 γ:0.40 学習回数:39 ステップ数:22,0.8,0.2,0.4,39,22
ε:0.40 α:0.20 γ:0.10 学習回数:39 ステップ数:22,0.4,0.2,0.1,39,22
ε:0.30 α:0.80 γ:0.10 学習回数:39 ステップ数:22,0.3,0.8,0.1,39,22
ε:0.30 α:0.60 γ:0.80 学習回数:39 ステップ数:22,0.3,0.6,0.8,39,22
ε:0.40 α:0.20 γ:0.80 学習回数:40 ステップ数:22,0.4,0.2,0.8,40,22
ε:0.40 α:0.40 γ:0.90 学習回数:40 ステップ数:22,0.4,0.4,0.9,40,22
ε:0.30 α:0.50 γ:0.30 学習回数:40 ステップ数:22,0.3,0.5,0.3,40,22
ε:0.90 α:0.10 γ:0.30 学習回数:40 ステップ数:22,0.9,0.1,0.3,40,22
ε:0.40 α:0.70 γ:0.10 学習回数:41 ステップ数:22,0.4,0.7,0.1,41,22
ε:0.50 α:0.20 γ:0.60 学習回数:41 ステップ数:22,0.5,0.2,0.6,41,22
ε:0.30 α:0.80 γ:0.50 学習回数:41 ステップ数:22,0.3,0.8,0.5,41,22
ε:0.90 α:0.10 γ:0.40 学習回数:41 ステップ数:22,0.9,0.1,0.4,41,22
ε:0.50 α:0.30 γ:0.60 学習回数:42 ステップ数:22,0.5,0.3,0.6,42,22
ε:0.30 α:0.80 γ:0.80 学習回数:42 ステップ数:22,0.3,0.8,0.8,42,22
ε:0.70 α:0.10 γ:0.70 学習回数:42 ステップ数:22,0.7,0.1,0.7,42,22
ε:0.50 α:0.30 γ:0.10 学習回数:42 ステップ数:22,0.5,0.3,0.1,42,22
ε:0.90 α:0.10 γ:0.20 学習回数:42 ステップ数:22,0.9,0.1,0.2,42,22
ε:0.40 α:0.90 γ:0.40 学習回数:43 ステップ数:22,0.4,0.9,0.4,43,22
ε:0.50 α:0.40 γ:0.10 学習回数:43 ステップ数:22,0.5,0.4,0.1,43,22
ε:0.40 α:0.80 γ:0.40 学習回数:43 ステップ数:22,0.4,0.8,0.4,43,22
ε:0.60 α:0.10 γ:0.90 学習回数:43 ステップ数:22,0.6,0.1,0.9,43,22
ε:0.30 α:0.80 γ:0.60 学習回数:43 ステップ数:22,0.3,0.8,0.6,43,22
ε:0.40 α:0.40 γ:0.70 学習回数:43 ステップ数:22,0.4,0.4,0.7,43,22
ε:0.70 α:0.30 γ:0.40 学習回数:44 ステップ数:22,0.7,0.3,0.4,44,22
ε:0.40 α:0.10 γ:0.70 学習回数:44 ステップ数:22,0.4,0.1,0.7,44,22
ε:0.50 α:0.60 γ:0.20 学習回数:44 ステップ数:22,0.5,0.6,0.2,44,22
ε:0.50 α:0.10 γ:0.30 学習回数:44 ステップ数:22,0.5,0.1,0.3,44,22
ε:0.50 α:0.50 γ:0.10 学習回数:44 ステップ数:22,0.5,0.5,0.1,44,22
ε:0.40 α:0.10 γ:0.70 学習回数:44 ステップ数:22,0.4,0.1,0.7,44,22
ε:0.50 α:0.10 γ:0.50 学習回数:45 ステップ数:22,0.5,0.1,0.5,45,22
ε:0.30 α:0.30 γ:0.20 学習回数:45 ステップ数:22,0.3,0.3,0.2,45,22
ε:0.20 α:0.10 γ:0.40 学習回数:45 ステップ数:22,0.2,0.1,0.4,45,22
ε:0.40 α:0.30 γ:0.50 学習回数:45 ステップ数:22,0.4,0.3,0.5,45,22
ε:0.30 α:0.70 γ:0.90 学習回数:45 ステップ数:22,0.3,0.7,0.9,45,22
ε:0.50 α:0.70 γ:0.70 学習回数:45 ステップ数:22,0.5,0.7,0.7,45,22
ε:0.80 α:0.10 γ:0.50 学習回数:46 ステップ数:22,0.8,0.1,0.5,46,22
ε:0.60 α:0.30 γ:0.10 学習回数:46 ステップ数:22,0.6,0.3,0.1,46,22
ε:0.70 α:0.10 γ:0.60 学習回数:46 ステップ数:22,0.7,0.1,0.6,46,22
ε:0.40 α:0.70 γ:0.60 学習回数:46 ステップ数:22,0.4,0.7,0.6,46,22
ε:0.80 α:0.10 γ:0.70 学習回数:46 ステップ数:22,0.8,0.1,0.7,46,22
ε:0.40 α:0.30 γ:0.10 学習回数:46 ステップ数:22,0.4,0.3,0.1,46,22
ε:0.30 α:0.60 γ:0.60 学習回数:47 ステップ数:22,0.3,0.6,0.6,47,22
ε:0.30 α:0.30 γ:0.40 学習回数:47 ステップ数:22,0.3,0.3,0.4,47,22
ε:0.60 α:0.10 γ:0.20 学習回数:47 ステップ数:22,0.6,0.1,0.2,47,22
ε:0.50 α:0.10 γ:0.20 学習回数:47 ステップ数:22,0.5,0.1,0.2,47,22
ε:0.90 α:0.10 γ:0.20 学習回数:47 ステップ数:22,0.9,0.1,0.2,47,22
ε:0.70 α:0.60 γ:0.70 学習回数:47 ステップ数:22,0.7,0.6,0.7,47,22
ε:0.40 α:0.70 γ:0.70 学習回数:48 ステップ数:22,0.4,0.7,0.7,48,22
ε:0.30 α:0.50 γ:0.90 学習回数:48 ステップ数:22,0.3,0.5,0.9,48,22
ε:0.40 α:0.60 γ:0.50 学習回数:48 ステップ数:22,0.4,0.6,0.5,48,22
ε:0.30 α:0.60 γ:0.90 学習回数:49 ステップ数:22,0.3,0.6,0.9,49,22
ε:0.30 α:0.50 γ:0.30 学習回数:49 ステップ数:22,0.3,0.5,0.3,49,22
ε:0.20 α:0.90 γ:0.10 学習回数:49 ステップ数:22,0.2,0.9,0.1,49,22
ε:0.70 α:0.10 γ:0.20 学習回数:49 ステップ数:22,0.7,0.1,0.2,49,22
ε:0.30 α:0.80 γ:0.70 学習回数:49 ステップ数:22,0.3,0.8,0.7,49,22
ε:0.40 α:0.80 γ:0.30 学習回数:50 ステップ数:22,0.4,0.8,0.3,50,22
ε:0.60 α:0.10 γ:0.30 学習回数:50 ステップ数:22,0.6,0.1,0.3,50,22
ε:0.30 α:0.30 γ:0.70 学習回数:50 ステップ数:22,0.3,0.3,0.7,50,22
ε:0.40 α:0.70 γ:0.20 学習回数:51 ステップ数:22,0.4,0.7,0.2,51,22
ε:0.50 α:0.60 γ:0.10 学習回数:51 ステップ数:22,0.5,0.6,0.1,51,22
ε:0.60 α:0.10 γ:0.40 学習回数:51 ステップ数:22,0.6,0.1,0.4,51,22
ε:0.20 α:0.60 γ:0.40 学習回数:51 ステップ数:22,0.2,0.6,0.4,51,22
ε:0.40 α:0.20 γ:0.30 学習回数:51 ステップ数:22,0.4,0.2,0.3,51,22
ε:0.50 α:0.20 γ:0.50 学習回数:51 ステップ数:22,0.5,0.2,0.5,51,22
ε:0.30 α:0.50 γ:0.20 学習回数:51 ステップ数:22,0.3,0.5,0.2,51,22
ε:0.40 α:0.10 γ:0.90 学習回数:51 ステップ数:22,0.4,0.1,0.9,51,22
ε:0.40 α:0.30 γ:0.20 学習回数:52 ステップ数:22,0.4,0.3,0.2,52,22
ε:0.30 α:0.20 γ:0.50 学習回数:52 ステップ数:22,0.3,0.2,0.5,52,22
ε:0.60 α:0.10 γ:0.30 学習回数:52 ステップ数:22,0.6,0.1,0.3,52,22
ε:0.30 α:0.10 γ:0.60 学習回数:52 ステップ数:22,0.3,0.1,0.6,52,22
ε:0.30 α:0.60 γ:0.10 学習回数:53 ステップ数:22,0.3,0.6,0.1,53,22
ε:0.10 α:0.10 γ:0.60 学習回数:53 ステップ数:22,0.1,0.1,0.6,53,22
ε:0.80 α:0.10 γ:0.40 学習回数:53 ステップ数:22,0.8,0.1,0.4,53,22
ε:0.40 α:0.20 γ:0.10 学習回数:53 ステップ数:22,0.4,0.2,0.1,53,22
ε:0.60 α:0.90 γ:0.20 学習回数:53 ステップ数:22,0.6,0.9,0.2,53,22
ε:0.30 α:0.10 γ:0.10 学習回数:54 ステップ数:22,0.3,0.1,0.1,54,22
ε:0.40 α:0.20 γ:0.40 学習回数:54 ステップ数:22,0.4,0.2,0.4,54,22
ε:0.40 α:0.60 γ:0.30 学習回数:54 ステップ数:22,0.4,0.6,0.3,54,22
ε:0.50 α:0.10 γ:0.20 学習回数:54 ステップ数:22,0.5,0.1,0.2,54,22
ε:0.80 α:0.10 γ:0.10 学習回数:55 ステップ数:22,0.8,0.1,0.1,55,22
ε:0.60 α:0.10 γ:0.50 学習回数:55 ステップ数:22,0.6,0.1,0.5,55,22
ε:0.30 α:0.20 γ:0.50 学習回数:55 ステップ数:22,0.3,0.2,0.5,55,22
ε:0.30 α:0.20 γ:0.80 学習回数:55 ステップ数:22,0.3,0.2,0.8,55,22
ε:0.40 α:0.60 γ:0.40 学習回数:56 ステップ数:22,0.4,0.6,0.4,56,22
ε:0.30 α:0.30 γ:0.70 学習回数:57 ステップ数:22,0.3,0.3,0.7,57,22
ε:0.50 α:0.10 γ:0.10 学習回数:57 ステップ数:22,0.5,0.1,0.1,57,22
ε:0.30 α:0.60 γ:0.50 学習回数:57 ステップ数:22,0.3,0.6,0.5,57,22
ε:0.60 α:0.20 γ:0.30 学習回数:57 ステップ数:22,0.6,0.2,0.3,57,22
ε:0.40 α:0.20 γ:0.20 学習回数:58 ステップ数:22,0.4,0.2,0.2,58,22
ε:0.20 α:0.30 γ:0.90 学習回数:58 ステップ数:22,0.2,0.3,0.9,58,22
ε:0.40 α:0.10 γ:0.60 学習回数:58 ステップ数:22,0.4,0.1,0.6,58,22
ε:0.30 α:0.20 γ:0.10 学習回数:58 ステップ数:22,0.3,0.2,0.1,58,22
ε:0.30 α:0.90 γ:0.20 学習回数:59 ステップ数:22,0.3,0.9,0.2,59,22
ε:0.30 α:0.60 γ:0.10 学習回数:60 ステップ数:22,0.3,0.6,0.1,60,22
ε:0.30 α:0.50 γ:0.80 学習回数:60 ステップ数:22,0.3,0.5,0.8,60,22
ε:0.30 α:0.20 γ:0.90 学習回数:60 ステップ数:22,0.3,0.2,0.9,60,22
ε:0.40 α:0.40 γ:0.10 学習回数:61 ステップ数:22,0.4,0.4,0.1,61,22
ε:0.30 α:0.30 γ:0.30 学習回数:61 ステップ数:22,0.3,0.3,0.3,61,22
ε:0.50 α:0.40 γ:0.20 学習回数:61 ステップ数:22,0.5,0.4,0.2,61,22
ε:0.80 α:0.10 γ:0.20 学習回数:62 ステップ数:22,0.8,0.1,0.2,62,22
ε:0.30 α:0.20 γ:0.80 学習回数:64 ステップ数:22,0.3,0.2,0.8,64,22
ε:0.30 α:0.60 γ:0.20 学習回数:64 ステップ数:22,0.3,0.6,0.2,64,22
ε:0.30 α:0.10 γ:0.20 学習回数:64 ステップ数:22,0.3,0.1,0.2,64,22
ε:0.30 α:0.50 γ:0.60 学習回数:64 ステップ数:22,0.3,0.5,0.6,64,22
ε:0.30 α:0.10 γ:0.60 学習回数:65 ステップ数:22,0.3,0.1,0.6,65,22
ε:0.30 α:0.30 γ:0.90 学習回数:66 ステップ数:22,0.3,0.3,0.9,66,22
ε:0.30 α:0.10 γ:0.80 学習回数:66 ステップ数:22,0.3,0.1,0.8,66,22
ε:0.20 α:0.40 γ:0.20 学習回数:66 ステップ数:22,0.2,0.4,0.2,66,22
ε:0.50 α:0.20 γ:0.30 学習回数:67 ステップ数:22,0.5,0.2,0.3,67,22
ε:0.70 α:0.10 γ:0.40 学習回数:67 ステップ数:22,0.7,0.1,0.4,67,22
ε:0.40 α:0.30 γ:0.50 学習回数:67 ステップ数:22,0.4,0.3,0.5,67,22
ε:0.30 α:0.80 γ:0.20 学習回数:67 ステップ数:22,0.3,0.8,0.2,67,22
ε:0.80 α:0.10 γ:0.10 学習回数:67 ステップ数:22,0.8,0.1,0.1,67,22
ε:0.30 α:0.60 γ:0.40 学習回数:67 ステップ数:22,0.3,0.6,0.4,67,22
ε:0.20 α:0.60 γ:0.60 学習回数:67 ステップ数:22,0.2,0.6,0.6,67,22
ε:0.80 α:0.10 γ:0.30 学習回数:67 ステップ数:22,0.8,0.1,0.3,67,22
ε:0.50 α:0.10 γ:0.10 学習回数:67 ステップ数:22,0.5,0.1,0.1,67,22
ε:0.30 α:0.10 γ:0.50 学習回数:68 ステップ数:22,0.3,0.1,0.5,68,22
ε:0.30 α:0.80 γ:0.10 学習回数:68 ステップ数:22,0.3,0.8,0.1,68,22
ε:0.40 α:0.60 γ:0.30 学習回数:69 ステップ数:22,0.4,0.6,0.3,69,22
ε:0.70 α:0.10 γ:0.20 学習回数:69 ステップ数:22,0.7,0.1,0.2,69,22
ε:0.30 α:0.70 γ:0.30 学習回数:69 ステップ数:22,0.3,0.7,0.3,69,22
ε:0.90 α:0.10 γ:0.10 学習回数:69 ステップ数:22,0.9,0.1,0.1,69,22
ε:0.20 α:0.80 γ:0.70 学習回数:70 ステップ数:22,0.2,0.8,0.7,70,22
ε:0.30 α:0.80 γ:0.90 学習回数:71 ステップ数:22,0.3,0.8,0.9,71,22
ε:0.50 α:0.70 γ:0.30 学習回数:71 ステップ数:22,0.5,0.7,0.3,71,22
ε:0.40 α:0.30 γ:0.40 学習回数:71 ステップ数:22,0.4,0.3,0.4,71,22
ε:0.40 α:0.10 γ:0.20 学習回数:72 ステップ数:22,0.4,0.1,0.2,72,22
ε:0.20 α:0.60 γ:0.20 学習回数:72 ステップ数:22,0.2,0.6,0.2,72,22
ε:0.20 α:0.60 γ:0.70 学習回数:72 ステップ数:22,0.2,0.6,0.7,72,22
ε:0.10 α:0.50 γ:0.70 学習回数:73 ステップ数:22,0.1,0.5,0.7,73,22
ε:0.30 α:0.40 γ:0.40 学習回数:73 ステップ数:22,0.3,0.4,0.4,73,22
ε:0.90 α:0.10 γ:0.10 学習回数:74 ステップ数:22,0.9,0.1,0.1,74,22
ε:0.20 α:0.90 γ:0.10 学習回数:74 ステップ数:22,0.2,0.9,0.1,74,22
ε:0.40 α:0.80 γ:0.50 学習回数:74 ステップ数:22,0.4,0.8,0.5,74,22
ε:0.40 α:0.30 γ:0.10 学習回数:74 ステップ数:22,0.4,0.3,0.1,74,22
ε:0.60 α:0.20 γ:0.60 学習回数:74 ステップ数:22,0.6,0.2,0.6,74,22
ε:0.40 α:0.10 γ:0.10 学習回数:74 ステップ数:22,0.4,0.1,0.1,74,22
ε:0.70 α:0.10 γ:0.10 学習回数:75 ステップ数:22,0.7,0.1,0.1,75,22
ε:0.30 α:0.20 γ:0.20 学習回数:75 ステップ数:22,0.3,0.2,0.2,75,22
ε:0.30 α:0.70 γ:0.60 学習回数:75 ステップ数:22,0.3,0.7,0.6,75,22
ε:0.40 α:0.40 γ:0.20 学習回数:75 ステップ数:22,0.4,0.4,0.2,75,22
ε:0.50 α:0.20 γ:0.10 学習回数:75 ステップ数:22,0.5,0.2,0.1,75,22
ε:0.30 α:0.70 γ:0.40 学習回数:76 ステップ数:22,0.3,0.7,0.4,76,22
ε:0.30 α:0.60 γ:0.90 学習回数:76 ステップ数:22,0.3,0.6,0.9,76,22
ε:0.80 α:0.10 γ:0.20 学習回数:77 ステップ数:22,0.8,0.1,0.2,77,22
ε:0.30 α:0.60 γ:0.80 学習回数:77 ステップ数:22,0.3,0.6,0.8,77,22
ε:0.40 α:0.50 γ:0.50 学習回数:77 ステップ数:22,0.4,0.5,0.5,77,22
ε:0.20 α:0.60 γ:0.10 学習回数:77 ステップ数:22,0.2,0.6,0.1,77,22
ε:0.70 α:0.10 γ:0.10 学習回数:79 ステップ数:22,0.7,0.1,0.1,79,22
ε:0.60 α:0.10 γ:0.10 学習回数:79 ステップ数:22,0.6,0.1,0.1,79,22
ε:0.30 α:0.30 γ:0.10 学習回数:79 ステップ数:22,0.3,0.3,0.1,79,22
ε:0.10 α:0.90 γ:0.60 学習回数:79 ステップ数:22,0.1,0.9,0.6,79,22
